,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
28,AVRO,4.6336,7.4683,20.0700,3.1700,387.07k,367.03k,86.52%,-4.85%,-6.05%,-32.79%,-58.04%,-73.86%,22.88,3.88,-32.61,-31.39,Healthcare
29,AYRO,2.4234,4.0975,11.5000,1.4900,1.62M,1.26M,22.62%,-15.22%,-30.97%,-52.15%,-68.03%,-75.51%,5.00,1.74,-12.00,-7.66,Consumer Cyclical
30,AADI,24.61,12.21,32.99,0.95,335.7k,183.11k,,-4.91%,8.07%,-19.52%,-6.00%,65.49%,50.00,24.68,-87.09,-4.41,Healthcare
31,ABCL,15.07,20.66,55.22,12.20,2.34M,1.92M,41.82%,-13.15%,-3.05%,-29.72%,-37.86%,-64.95%,38.88,14.47,-21.38,-2.32,Healthcare
32,ABER,,,,,,,,,,,,,,,,,
33,ABBK,,,,,,,,,,,,,,,,,
34,ABLX,,,,,,,,,,,,,,,,,
35,AXAS,1.2754,2.1529,4.9900,0.5500,64.67k,45.23k,14.13%,,,,,,,,,,Energy
36,ABXA,,,,,,,,,,,,,,,,,
37,ACTG,5.29,5.84,9.09,3.78,324.36k,360.32k,68.14%,4.03%,1.57%,-26.29%,-23.67%,28.36%,8.00,5.32,38.35,6.15,Industrials
