,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Updated_Price,Predict_Inc_Dec
23,9.95,10.25,12.38,9.73,12040.0,88850.0,0.9625,0.0051,-0.0069999999999999,-0.0086,-0.0499,0.0353,27.67,9.81,-5.09,-0.16,-4.93,1,9.82,1
24,3.6258,2.1795,5.65,0.421,17890.0,46950.0,0.0075,0.0833,-0.0896,-0.1875,-0.2678999999999999,-0.3868,27.67,3.08,0.02,-0.23,0.25,1,4.07,1
26,4.6336,7.4683,20.07,3.17,387070.0,367030.0,0.8652,-0.0484999999999999,-0.0605,-0.3278999999999999,-0.5804,-0.7386,22.88,3.88,-32.61,-31.39,-1.2199999999999989,3,2.06,0
27,2.4234,4.0975,11.5,1.49,1620000.0,1260000.0,0.2262,-0.1522,-0.3097,-0.5215,-0.6803,-0.7551000000000001,5.0,1.74,-12.0,-7.66,-4.34,5,1.47,0
29,15.07,20.66,55.22,12.2,2340000.0,1920000.0,0.4182,-0.1315,-0.0305,-0.2971999999999999,-0.3786,-0.6495000000000001,38.88,14.47,-21.38,-2.32,-19.06,3,10.86,0
30,1.2754,2.1529,4.99,0.55,64670.0,45230.0,0.1413,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,8,1.13,0
31,5.29,5.84,9.09,3.78,324360.0,360320.0,0.6814,0.0403,0.0157,-0.2628999999999999,-0.2367,0.2836,8.0,5.32,38.35,6.15,32.2,2,4.84,0
33,5.48,6.8,15.6,4.01,414660.0,448020.0,0.3943,-0.0482,-0.004,-0.1697,-0.3871,-0.3251,9.33,5.02,-8.99,-21.67,12.68,3,4.03,0
36,0.7094,1.1206,2.94,0.46,1620000.0,1040000.0,0.3486,-0.1601,-0.2043,-0.5196999999999999,-0.6415000000000001,-0.5808,4.17,0.51,-8.38,-9.85,1.4699999999999989,3,0.52,1
40,10.08,10.0,10.44,9.84,100940.0,23360.0,0.0962,0.0,0.001,0.011,0.0192,0.0353,27.67,10.12,-0.24,-0.35,0.1099999999999999,0,10.13,1
44,4.3334,8.2331,26.17,2.93,317060.0,397060.0,0.1085999999999999,0.0056999999999999,-0.0166,-0.4522,-0.6431999999999999,-0.7191,27.67,3.85,0.02,-0.23,0.25,7,3.24,0
45,4.7952,5.021,8.74,3.71,38630.0,54180.0,0.0034999999999999,0.0133,-0.0988,-0.1264,-0.2853,0.0353,12.0,4.54,-4.64,-4.0,-0.6399999999999997,3,4.44,0
46,25.32,30.65,78.82,5.57,32720000.0,7150000.0,0.5528,-0.2643,-0.8384,-0.8133,-0.1115,0.0353,10.0,7.85,-60.38,-44.67,-15.71,3,5.26,0
47,0.8608,0.9415,2.34,0.49,1300000.0,6130000.0,0.1105,-0.1009999999999999,-0.265,-0.4028,-0.4786999999999999,0.1547,27.67,0.58,-12.36,-9.31,-3.049999999999999,3,0.63,1
49,24.09,24.48,34.48,18.33,180890.0,159380.0,0.4336,0.0049,-0.0605999999999999,-0.2380999999999999,-0.1602,-0.3718999999999999,43.71,21.15,-71.55,-72.57,1.019999999999996,3,18.99,0
50,9.81,9.72,10.24,9.44,78770.0,155120.0,0.5306000000000001,-0.0015,0.0011,0.0176,0.0197,0.0353,27.67,9.86,-0.42,-0.12,-0.3,1,9.88,1
53,6.76,6.52,8.41,4.6,77120.0,121060.0,0.5036,0.0123,0.0092,0.0186,-0.1134,0.2122,27.67,6.62,24.25,16.59,7.66,2,6.76,1
55,0.3924,0.4804,1.57,0.121,5500000.0,5000000.0,0.1151,-0.5005,-0.6327,-0.7049,-0.6829999999999999,-0.5739,2.25,0.15,-3.33,-5.11,1.7800000000000002,3,0.16,1
56,1.982,3.6903,14.79,1.69,1280000.0,1970000.0,0.7376999999999999,-0.0481,-0.0481,-0.1909,-0.4914,-0.8499,4.25,1.86,-38.36,-44.33,5.969999999999999,3,1.6,0
60,10.12,14.38,21.3,7.04,1450000.0,1070000.0,1.0661,-0.1074,-0.2529,-0.3684,-0.5534,-0.4644,23.12,7.44,-39.69,-38.69,-1.0,3,7.46,1
63,2.7198,3.2566,12.49,1.45,181710.0,275500.0,0.1814,-0.0248,-0.2335,-0.491,-0.5996,-0.0574,9.33,2.02,-2.01,-2.1,0.0900000000000003,3,1.8,0
65,132.63,90.99,176.65,46.5,9000000.0,12810000.0,0.7195,-0.0516,-0.2563,-0.1285,0.4592,0.0353,155.79,104.18,-306.62,-153.21,-153.41,4,72.13,0
66,15.3,20.74,28.23,12.62,244670.0,171680.0,0.6613,0.0906,0.0633,-0.2082999999999999,-0.4073,-0.3878,24.58,15.59,53.03,17.24,35.790000000000006,9,14.12,0
69,8.83,10.0,36.13,4.8,277330.0,119270.0,0.396,-0.4376,-0.5024000000000001,-0.4339,-0.483,-0.4825,27.67,5.23,-4.99,0.93,-5.92,4,4.35,0
70,39.39,48.37,62.16,29.21,831080.0,562780.0,1.0824,-0.0233999999999999,-0.049,-0.2692,-0.3872,-0.2379,58.25,34.11,-88.77,-86.22,-2.549999999999997,3,31.95,0
71,2.2455,2.5059,8.45,1.751,103600.0,4860000.0,0.5528,-0.0711,-0.0883999999999999,-0.1478,-0.1115,0.0353,27.67,2.04,-1.82,-1.21,-0.6100000000000001,9,1.87,0
73,10.01,10.01,10.02,9.95,1050000.0,1050000.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,0,10.03,0
74,24.48,24.93,27.69,23.51,3440.0,4980.0,0.0069999999999999,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,2,24.0,1
75,26.9,26.08,32.43,21.42,313460.0,316320.0,0.8069,0.0202,0.1142,0.1096,0.2639,-0.043,32.8,29.31,0.02,-0.23,0.25,2,27.97,0
