,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price
1320,,,,,,,
1321,-2.82%,-11.68%,8.39%,1.97%,4.38%,-,3.10
1322,5.54%,0.34%,25.07%,8.28%,82.66%,54.00,44.55
1323,,,,,,,
1324,-11.36%,-36.07%,-49.51%,-60.00%,-48.00%,10.50,1.61
1325,,,,,,,
1326,,,,,,,
1327,0.75%,0.91%,15.75%,26.10%,22.91%,89.03,90.32
1328,-0.92%,-21.89%,-45.04%,-49.49%,-,31.50,11.24
1329,-3.04%,-17.66%,-48.77%,-45.03%,-47.99%,12.50,4.19
1330,13.59%,19.63%,38.08%,134.36%,125.15%,55.82,47.62
1331,,,,,,,
1332,,,,,,,
1333,,,,,,,
1334,6.95%,16.35%,-3.05%,-10.45%,10.54%,69.42,56.62
1335,,,,,,,
1336,,,,,,,
1337,,,,,,,
1338,20.53%,53.74%,68.91%,74.40%,118.56%,16.50,20.64
1339,-0.78%,6.83%,7.41%,-29.60%,-7.87%,54.50,40.28
1340,,,,,,,
1341,0.60%,0.10%,-,-,-,-,9.98
1342,5.73%,12.75%,21.64%,-27.13%,-0.98%,21.00,15.42
1343,,,,,,,
1344,2.36%,9.66%,5.15%,-0.97%,22.43%,-,7.25
1345,-7.37%,-19.16%,-1.41%,-41.15%,1.05%,26.44,12.87
1346,-8.49%,-29.71%,-77.49%,-,-,-,2.98
1347,0.68%,-6.74%,-30.67%,-34.95%,0.45%,8.00,4.46
1348,-5.44%,-13.89%,-24.76%,-46.31%,-44.23%,8.00,3.07
1349,0.00%,2.48%,-22.17%,-34.00%,-21.80%,-,1.60
1350,3.94%,16.82%,-0.97%,-4.56%,31.18%,48.88,39.01
1351,0.00%,-0.86%,-9.80%,-11.88%,6.98%,-,2.30
1352,,,,,,,
1353,,,,,,,
1354,,,,,,,
1355,,,,,,,
1356,-13.08%,-31.99%,-39.41%,-45.12%,-,22.00,4.76
1357,,,,,,,
1358,0.10%,-0.20%,0.51%,0.83%,-,-,9.78
1359,,,,,,,
1360,,,,,,,
1361,,,,,,,
1362,,,,,,,
1363,,,,,,,
1364,-4.05%,-0.65%,-10.85%,-43.83%,-47.55%,86.50,45.47
1365,1.75%,12.46%,-5.08%,-4.79%,14.85%,18.71,15.96
1366,-10.59%,-18.61%,-50.78%,-62.02%,-43.63%,53.60,17.50
1367,,,,,,,
1368,,,,,,,
1369,,,,,,,
1370,,,,,,,
1371,,,,,,,
1372,-0.85%,-3.31%,-13.12%,-21.12%,-62.38%,18.20,3.66
1373,,,,,,,
1374,,,,,,,
1375,1.34%,-3.37%,15.95%,25.36%,39.04%,-,194.21
1376,-0.31%,-1.02%,0.57%,-0.62%,-,-,9.72
1377,3.63%,-1.11%,13.18%,15.78%,131.30%,133.50,108.23
1378,1.08%,0.58%,83.31%,4.57%,63.12%,36.43,38.22
1379,,,,,,,
1380,,,,,,,
1381,-13.36%,-26.71%,-34.15%,-63.10%,-,-,2.21
1382,,,,,,,
1383,2.51%,12.91%,-10.14%,-19.49%,15.77%,108.17,63.63
1384,,,,,,,
1385,-10.00%,-31.87%,-44.30%,-60.00%,-29.05%,-,1.83
1386,,,,,,,
1387,2.17%,-3.95%,-5.21%,-20.29%,-11.02%,33.67,23.84
1388,,,,,,,
1389,1.50%,-6.29%,-22.91%,-28.42%,-,19.30,13.09
1390,,,,,,,
1391,,,,,,,
1392,,,,,,,
1393,8.15%,19.43%,-8.03%,-7.75%,-11.75%,15.75,9.19
1394,,,,,,,
1395,2.80%,-0.74%,39.59%,41.01%,28.60%,154.40,141.24
1396,0.42%,2.23%,-2.67%,-2.26%,-0.38%,18.00,14.23
1397,6.47%,-1.21%,15.03%,8.69%,28.00%,114.33,112.68
1398,-12.27%,-24.46%,-44.97%,-49.03%,-44.73%,60.30,27.85
1399,-10.64%,-39.13%,-51.45%,-77.30%,-41.96%,-,1.73
1400,,,,,,,
1401,,,,,,,
1402,,,,,,,
1403,4.77%,13.08%,10.33%,-20.02%,-,17.67,19.33
1404,5.47%,6.14%,17.01%,7.92%,-,42.12,33.85
1405,-0.56%,-0.72%,-15.29%,-18.28%,8.02%,33.83,25.00
1406,-1.84%,2.48%,-33.39%,-32.45%,-30.67%,47.22,30.04
1407,,,,,,,
1408,-0.20%,-0.61%,0.10%,1.03%,-,-,9.87
1409,-3.60%,-14.23%,-39.38%,-,-,177.83,107.34
1410,,,,,,,
1411,,,,,,,
1412,,,,,,,
1413,5.41%,-6.66%,-22.84%,52.28%,219.15%,26.00,14.65
1414,,,,,,,
1415,-0.26%,0.98%,-1.76%,-,-,-,9.77
1416,,,,,,,
1417,,,,,,,
1418,,,,,,,
1419,5.38%,-21.33%,-24.64%,-,-,49.00,25.83
1420,1.31%,-2.02%,-26.46%,-22.34%,2.40%,49.61,33.01
1421,2.55%,1.01%,-38.20%,-33.31%,-,58.62,35.43
1422,,,,,,,
1423,,,,,,,
1424,4.31%,-12.32%,-16.03%,-23.72%,14.21%,40.00,25.21
1425,,,,,,,
1426,3.08%,-6.10%,11.82%,0.50%,0.51%,-,364.35
1427,0.60%,4.15%,-9.06%,-23.82%,7.49%,-,5.05
1428,-2.00%,12.00%,19.51%,3.70%,58.06%,5.67,2.01
1429,3.69%,-0.41%,7.08%,51.70%,70.36%,12.38,10.11
1430,,,,,,,
1431,,,,,,,
1432,1.25%,-1.79%,30.09%,72.67%,81.67%,211.42,179.90
1433,,,,,,,
1434,-9.55%,-22.70%,15.65%,-30.34%,12.64%,-,3.13
1435,-5.44%,-9.42%,-31.45%,-28.19%,-,35.00,16.99
1436,,,,,,,
1437,,,,,,,
1438,,,,,,,
1439,,,,,,,
1440,-9.50%,21.30%,-72.24%,-74.49%,-83.15%,12.20,10.29
1441,,,,,,,
1442,-0.10%,-,-,-,-,-,9.86
1443,,,,,,,
1444,-2.46%,-9.39%,-35.34%,-,-,44.11,27.64
1445,0.08%,60.98%,41.43%,24.48%,38.14%,12.34,12.47
1446,-7.44%,-22.15%,-25.00%,-39.81%,-55.09%,23.80,7.67
1447,2.89%,-0.90%,6.87%,12.99%,57.51%,68.27,56.78
1448,,,,,,,
1449,,,,,,,
1450,,,,,,,
1451,,,,,,,
1452,4.42%,-0.82%,3.40%,19.20%,38.81%,87.75,82.97
1453,15.73%,11.30%,41.46%,-0.50%,-,39.00,21.03
1454,2.20%,-24.42%,-12.15%,47.35%,2128.00%,11.00,5.75
1455,-2.56%,-20.63%,-1.80%,-20.29%,31.38%,-,3.91
1456,,,,,,,
1457,-5.39%,-6.24%,-1.87%,25.39%,50.01%,639.75,541.16
1458,,,,,,,
1459,,,,,,,
1460,,,,,,,
1461,,,,,,,
1462,-14.34%,-23.05%,-37.84%,-57.52%,-59.21%,2.00,0.32
1463,2.35%,11.03%,18.04%,23.67%,32.18%,30.10,24.99
1464,-6.36%,-4.01%,19.24%,20.81%,-13.95%,31.00,40.50
1465,-3.60%,-7.76%,-8.55%,-40.56%,-57.20%,5.00,1.08
1466,,,,,,,
1467,,,,,,,
1468,0.06%,18.53%,-,-,-,-,50.65
1469,3.38%,0.23%,6.37%,3.84%,46.01%,43.75,34.95
1470,4.86%,1.82%,20.90%,38.21%,63.26%,117.67,110.45
1471,,,,,,,
1472,1.44%,-2.93%,-6.10%,-22.20%,-19.60%,37.95,24.62
1473,,,,,,,
1474,,,,,,,
1475,4.15%,-2.47%,-20.69%,-33.97%,-32.35%,4.16,2.91
1476,0.18%,-14.63%,16.70%,93.17%,118.53%,-,5.75
1477,,,,,,,
1478,-0.68%,-9.24%,-7.55%,13.33%,10.96%,-,69.46
1479,-1.14%,-39.37%,-40.64%,-45.46%,-33.17%,210.71,154.83
1480,23.47%,65.76%,175.87%,273.93%,304.62%,-,7.73
1481,14.23%,2.44%,-20.22%,-1.18%,184.00%,30.00,9.15
1482,-4.60%,-34.06%,-41.81%,-39.65%,-24.84%,103.75,51.32
1483,,,,,,,
1484,,,,,,,
1485,,,,,,,
1486,13.64%,-16.67%,-10.71%,-30.56%,-44.93%,-,1.25
1487,-0.71%,-2.30%,-0.91%,-2.58%,-,-,9.82
1488,,,,,,,
1489,,,,,,,
1490,,,,,,,
1491,,,,,,,
1492,0.91%,0.60%,2.25%,2.89%,0.50%,-,9.97
1493,2.48%,6.63%,7.69%,-26.05%,45.71%,24.00,15.32
1494,3.83%,20.27%,-0.89%,-40.59%,43.41%,-,5.76
1495,-1.69%,-5.28%,-25.84%,-41.31%,-54.00%,6.00,0.98
1496,-4.59%,8.90%,-22.82%,15.88%,-22.24%,7.67,4.39
1497,-0.51%,-0.81%,-0.30%,-0.91%,-,-,9.85
1498,-4.89%,-16.18%,-32.25%,-17.58%,17.00%,2.45,1.02
1499,-3.63%,-16.61%,-28.01%,-43.20%,-46.27%,34.75,12.36
1500,-10.84%,-34.22%,-43.94%,-94.90%,-,-,1.49
1501,0.00%,-0.10%,0.20%,0.72%,-3.72%,-,9.83
1502,,,,,,,
1503,,,,,,,
1504,,,,,,,
1505,,,,,,,
1506,8.81%,-5.04%,-4.53%,-22.34%,26.06%,13.75,7.03
1507,-13.25%,-32.47%,-57.74%,-56.77%,-56.91%,5.40,1.36
1508,-7.64%,-40.50%,-40.38%,-42.64%,-,-,6.28
1509,0.00%,-0.59%,-,-,-,-,10.15
1510,-0.90%,1.46%,56.04%,-53.90%,12.28%,37.20,14.58
1511,-9.13%,-27.72%,11.56%,-37.68%,-13.01%,18.38,10.28
1512,-12.01%,-16.25%,-20.89%,-41.68%,-45.12%,132.53,77.50
1513,2.09%,-1.08%,-4.55%,21.72%,54.20%,9.83,7.30
1514,4.06%,2.60%,1.28%,4.14%,45.20%,60.88,58.46
1515,2.88%,4.90%,3.62%,-0.43%,8.89%,28.50,22.80
1516,,,,,,,
1517,,,,,,,
1518,,,,,,,
1519,4.48%,1.68%,0.81%,11.34%,59.23%,100.45,79.82
1520,-1.79%,-0.68%,-0.84%,-18.40%,0.08%,-,24.93
1521,6.50%,-3.33%,-27.50%,-33.16%,41.73%,-,1.93
1522,,,,,,,
1523,-12.03%,-37.90%,-48.92%,-69.15%,-81.69%,-,0.94
1524,,,,,,,
1525,,,,,,,
1526,,,,,,,
1527,,,,,,,
1528,,,,,,,
1529,,,,,,,
1530,-2.92%,-18.21%,-12.00%,-29.86%,-,31.67,15.49
1531,,,,,,,
1532,-9.19%,-13.37%,-36.28%,-52.19%,-63.83%,52.07,28.15
1533,,,,,,,
1534,,,,,,,
1535,-5.54%,-17.02%,-23.92%,-39.91%,-50.39%,25.25,5.30
1536,-12.54%,-19.05%,-36.74%,-50.55%,-54.44%,11.00,2.71
1537,,,,,,,
1538,-11.16%,-25.91%,-37.71%,-47.78%,-66.11%,10.50,2.44
1539,,,,,,,
1540,0.73%,6.61%,-3.48%,-7.43%,-5.37%,172.27,134.98
1541,,,,,,,
1542,22.84%,-17.44%,-29.70%,-59.17%,-,22.67,5.84
1543,1.58%,-15.30%,-50.69%,-37.79%,-,10.00,3.28
1544,-0.02%,-0.11%,70.16%,51.73%,88.02%,-,22.87
1545,,,,,,,
1546,-11.76%,-18.92%,-38.78%,-26.11%,-46.52%,7.91,3.09
1547,,,,,,,
1548,,,,,,,
1549,,,,,,,
1550,3.98%,-2.63%,-2.01%,-,-,-,20.50
1551,,,,,,,
1552,0.00%,-32.36%,17.21%,-15.60%,-39.60%,6.40,4.08
1553,,,,,,,
1554,-9.70%,-22.93%,-41.55%,-57.84%,-37.31%,4.50,1.28
1555,,,,,,,
1556,,,,,,,
1557,,,,,,,
1558,-6.74%,-19.64%,-40.59%,-34.72%,-37.73%,33.00,6.17
1559,-3.10%,-32.59%,26.14%,4.83%,-,45.40,25.41
1560,-1.87%,-27.75%,24.98%,1.00%,8.97%,260.92,187.58
1561,6.16%,10.21%,13.17%,-1.83%,17.03%,92.20,85.31
1562,,,,,,,
1563,35.80%,176.73%,38.80%,-69.63%,-60.00%,-,4.47
1564,,,,,,,
1565,,,,,,,
1566,3.01%,12.81%,24.72%,37.10%,77.40%,-,44.90
1567,,,,,,,
1568,-2.99%,-28.43%,-14.87%,-50.84%,-18.21%,-,3.00
1569,,,,,,,
1570,-13.84%,-30.07%,-54.05%,-59.45%,-85.81%,6.50,0.97
1571,-0.20%,-0.45%,0.20%,1.33%,-,-,9.93
1572,,,,,,,
1573,-9.36%,-21.86%,-45.40%,-57.41%,-67.78%,19.80,7.90
1574,,,,,,,
1575,-18.01%,-20.31%,-50.29%,-69.31%,-77.81%,10.80,2.77
1576,8.33%,4.68%,2.76%,11.80%,50.27%,6.60,5.65
1577,-2.84%,-20.19%,-33.17%,-30.22%,-33.50%,13.67,4.16
1578,3.16%,4.71%,-0.70%,11.48%,60.03%,38.00,34.17
1579,,,,,,,
1580,1.69%,-11.77%,-22.46%,-31.72%,-27.82%,28.00,15.69
1581,,,,,,,
1582,-16.36%,-30.89%,-45.34%,-67.03%,-48.27%,19.67,3.67
1583,-0.32%,-6.83%,9.38%,32.91%,62.62%,36.00,32.00
1584,,,,,,,
1585,0.05%,-3.68%,-8.03%,-28.38%,78.71%,91.33,63.49
1586,,,,,,,
1587,,,,,,,
1588,-1.28%,-21.16%,8.09%,7.81%,25.37%,265.50,224.02
1589,4.54%,-13.28%,-38.32%,-23.29%,224.70%,45.51,18.68
1590,,,,,,,
1591,11.04%,12.24%,11.00%,-,-,36.00,29.99
1592,,,,,,,
1593,-4.17%,-20.14%,-22.03%,-20.69%,-29.01%,-,2.47
1594,-8.59%,8.90%,-21.11%,-54.71%,-60.41%,23.00,15.75
1595,,,,,,,
1596,0.00%,0.31%,0.93%,0.21%,-,-,9.75
1597,-7.30%,-19.51%,-37.26%,-51.75%,-66.46%,11.33,1.70
1598,-4.80%,17.59%,-13.72%,-49.80%,90.12%,15.14,6.56
1599,1.79%,-3.81%,7.58%,-6.97%,11.82%,-,2.32
1600,,,,,,,
1601,,,,,,,
1602,0.00%,-0.69%,-,-,-,-,10.02
1603,-16.27%,-33.77%,-52.28%,-62.87%,-29.24%,4.00,0.89
1604,5.02%,4.58%,16.49%,27.85%,35.43%,57.58,57.02
1605,6.51%,9.89%,14.91%,36.51%,70.34%,135.14,144.80
1606,,,,,,,
1607,8.71%,-20.35%,-,-,-,47.17,40.11
1608,-0.19%,-0.04%,2.26%,32.01%,32.42%,130.50,117.25
1609,,,,,,,
1610,-7.10%,-22.81%,23.44%,41.16%,134.57%,37.20,12.72
1611,-4.43%,3.47%,-20.82%,-21.77%,-30.84%,12.50,3.98
1612,-12.57%,-42.52%,-62.56%,-,-,6.00,1.39
1613,-0.50%,-0.70%,-0.20%,-1.86%,-0.25%,-,10.02
1614,,,,,,,
1615,,,,,,,
1616,,,,,,,
1617,-6.15%,-3.96%,-17.21%,-24.68%,7.88%,12.00,5.30
1618,-5.67%,-27.29%,-57.40%,-66.97%,1.41%,6.12,0.75
1619,,,,,,,
1620,0.41%,0.35%,3.19%,4.70%,15.56%,18.00,17.18
1621,4.48%,18.18%,4.92%,-10.02%,-5.35%,27.78,25.35
1622,0.57%,0.94%,5.40%,-5.30%,29.08%,26.00,19.72
1623,-14.61%,-34.07%,-47.35%,-65.75%,-,-,1.65
1624,10.26%,8.44%,-7.85%,-5.26%,144.97%,68.00,44.76
1625,-4.05%,9.19%,-5.34%,21.85%,12.68%,50.50,52.48
1626,-2.69%,-12.64%,-28.68%,-88.22%,-90.60%,10.50,5.05
1627,0.85%,1.42%,5.23%,6.44%,7.08%,-,10.80
1628,1.83%,0.74%,0.39%,-0.10%,23.50%,24.50,20.39
1629,,,,,,,
1630,,,,,,,
1631,2.72%,-2.49%,15.07%,-8.76%,-14.75%,57.50,30.92
1632,-1.02%,-7.30%,2.07%,7.74%,22.92%,46.50,26.07
1633,-12.20%,-28.24%,-58.22%,-63.33%,-81.30%,-,2.20
1634,,,,,,,
1635,,,,,,,
1636,-1.72%,-11.32%,-22.70%,8.33%,27.39%,18.00,5.89
1637,,,,,,,
1638,,,,,,,
1639,-0.51%,-0.10%,1.14%,0.31%,-,-,9.78
1640,0.15%,0.10%,1.39%,1.59%,-,-,10.21
1641,6.51%,-0.99%,-7.22%,-27.48%,-39.48%,18.00,8.69
1642,,,,,,,
1643,-2.37%,7.77%,-18.40%,-23.40%,-22.89%,18.00,14.23
1644,6.08%,18.00%,20.97%,34.77%,35.56%,157.00,173.57
1645,-5.24%,-21.46%,-19.71%,-38.99%,-55.11%,15.71,6.90
1646,8.74%,9.66%,24.66%,32.31%,57.42%,-,6.36
1647,,,,,,,
1648,-5.13%,-15.84%,-28.45%,-46.27%,-71.93%,28.80,4.35
1649,,,,,,,
1650,,,,,,,
1651,-7.00%,-5.32%,-57.66%,-65.75%,-83.42%,3.50,0.71
1652,-7.48%,-16.44%,-37.01%,-39.38%,-22.55%,-,3.85
1653,0.57%,10.45%,-11.77%,-11.86%,-,-,8.64
1654,0.23%,-4.12%,5.11%,-0.45%,18.25%,-,28.98
1655,,,,,,,
1656,,,,,,,
1657,,,,,,,
1658,-4.02%,-15.18%,32.38%,68.78%,77.28%,90.20,73.62
1659,1.07%,2.19%,21.57%,27.16%,62.86%,67.75,59.95
1660,7.30%,-0.13%,44.23%,88.85%,145.76%,160.00,142.24
1661,,,,,,,
1662,,,,,,,
1663,,,,,,,
1664,21.33%,90.43%,30.94%,10.05%,10.05%,-,5.18
1665,2.97%,-2.58%,9.94%,-7.29%,61.10%,26.50,21.40
1666,,,,,,,
1667,,,,,,,
1668,0.32%,-15.73%,-18.77%,-73.24%,-61.70%,-,3.19
1669,4.15%,-18.04%,-52.20%,-51.82%,-,10.33,4.87
1670,-12.62%,-35.25%,7.95%,44.87%,138.41%,-,7.58
1671,,,,,,,
1672,3.67%,11.55%,4.85%,4.11%,23.14%,-,248.56
1673,-0.90%,-14.73%,-33.73%,-17.60%,-5.58%,7.25,2.28
1674,4.47%,-10.24%,10.18%,12.95%,47.19%,167.73,139.45
1675,-3.92%,-13.27%,-39.88%,-50.84%,174.77%,11.00,2.94
1676,,,,,,,
1677,2.06%,0.89%,3.60%,2.33%,38.32%,55.00,47.35
1678,,,,,,,
1679,,,,,,,
1680,-0.30%,0.56%,1.24%,2.42%,-,-,10.55
1681,,,,,,,
1682,,,,,,,
1683,-0.10%,-0.51%,0.00%,0.21%,-,-,9.75
1684,,,,,,,
1685,-16.95%,-54.94%,-40.79%,-70.08%,-86.02%,14.14,2.09
1686,4.65%,2.68%,5.04%,4.91%,18.80%,890.09,842.60
1687,,,,,,,
1688,,,,,,,
1689,1.81%,-5.10%,8.99%,0.22%,-19.96%,-,194.82
1690,,,,,,,
1691,-6.24%,-44.59%,-61.33%,-77.26%,-82.27%,13.18,5.08
1692,-5.76%,-41.28%,-47.42%,-19.28%,-,-,16.98
1693,,,,,,,
1694,,,,,,,
1695,-4.51%,0.00%,-20.24%,-34.74%,-49.75%,12.00,4.19
1696,,,,,,,
1697,,,,,,,
1698,3.90%,-14.13%,-1.36%,-9.66%,42.51%,-,3.24
1699,-0.14%,10.92%,-8.68%,-12.96%,-16.83%,171.71,117.84
1700,,,,,,,
1701,9.54%,-7.42%,-23.99%,5.98%,387.25%,46.50,24.30
1702,-18.14%,-20.73%,-10.22%,-52.69%,-42.32%,21.25,6.38
1703,-0.87%,-6.29%,-1.36%,-,-,24.75,16.28
1704,-6.59%,-42.39%,-56.66%,-51.06%,-54.76%,106.82,67.98
1705,3.39%,-12.02%,67.38%,70.76%,144.00%,11.50,10.96
1706,-11.31%,-10.79%,-46.36%,-66.05%,-84.96%,1.69,0.39
1707,-9.75%,-27.81%,-55.24%,-59.82%,-78.50%,9.00,0.59
1708,-1.68%,-20.58%,-23.32%,-53.44%,-53.39%,13.00,4.71
1709,,,,,,,
1710,-3.40%,3.84%,-19.29%,-26.02%,-2.89%,24.40,11.26
1711,,,,,,,
1712,,,,,,,
1713,0.32%,12.30%,-7.95%,4.23%,-5.57%,29.77,18.96
1714,-20.99%,-59.76%,-84.07%,-87.25%,-89.26%,3.20,0.20
1715,2.09%,8.69%,8.84%,10.54%,37.83%,190.19,183.66
1716,4.48%,5.06%,10.01%,5.20%,40.69%,119.71,133.17
1717,,,,,,,
1718,17.36%,23.03%,68.98%,48.39%,144.97%,15.50,15.81
1719,,,,,,,
1720,,,,,,,
1721,,,,,,,
1722,6.27%,7.23%,22.39%,32.74%,41.52%,244.27,246.04
1723,4.00%,15.56%,49.72%,-,-,22.50,13.22
1724,,,,,,,
1725,-1.76%,-1.18%,0.43%,6.07%,17.69%,-,11.86
1726,-2.05%,0.67%,12.27%,24.62%,36.24%,-,9.10
1727,4.85%,3.98%,-0.67%,-4.05%,22.92%,39.17,34.01
1728,-7.89%,-30.10%,-1.90%,-1.51%,-,-,9.80
1729,,,,,,,
1730,0.21%,-0.81%,-0.20%,-0.10%,-,-,9.74
1731,,,,,,,
1732,-5.16%,-17.01%,-7.84%,-46.13%,-,13.38,7.43
1733,,,,,,,
1734,,,,,,,
1735,,,,,,,
1736,1.04%,-20.92%,-49.05%,-68.93%,-51.50%,16.67,5.02
1737,5.42%,6.22%,-18.32%,-44.84%,63.55%,14.00,7.30
1738,3.32%,4.89%,19.85%,20.31%,42.99%,20.50,18.62
1739,-1.77%,-13.74%,-34.79%,-50.63%,-80.89%,-,0.23
1740,4.59%,5.71%,21.96%,23.88%,29.57%,54.11,64.10
1741,-6.45%,14.39%,-0.97%,-31.77%,-36.04%,102.84,61.38
1742,,,,,,,
1743,,,,,,,
1744,,,,,,,
1745,,,,,,,
1746,0.24%,-11.72%,-54.53%,-42.11%,-40.48%,10.80,4.39
1747,,,,,,,
1748,-2.19%,19.13%,38.89%,-46.98%,-63.20%,18.17,14.87
1749,,,,,,,
1750,,,,,,,
1751,-9.43%,-40.59%,-46.78%,-57.30%,-31.37%,-,2.59
1752,3.01%,15.64%,-2.50%,-18.54%,-5.69%,17.50,11.24
1753,3.27%,2.12%,1.29%,14.83%,60.92%,49.02,43.73
1754,,,,,,,
1755,,,,,,,
1756,0.00%,-4.18%,-3.24%,-19.20%,-,10.25,9.85
1757,,,,,,,
1758,1.67%,3.94%,3.14%,7.40%,44.35%,37.00,32.18
1759,6.11%,-38.08%,-24.21%,-28.36%,-,30.00,10.53
1760,,,,,,,
1761,,,,,,,
1762,-0.29%,-0.83%,-,-,-,-,10.15
1763,,,,,,,
1764,5.32%,5.46%,7.46%,7.64%,26.29%,-,31.30
1765,1.64%,-0.38%,-0.74%,4.09%,28.12%,45.30,38.94
1766,,,,,,,
1767,1.75%,1.25%,0.34%,7.54%,59.51%,34.00,29.20
1768,,,,,,,
1769,0.94%,0.67%,3.76%,11.06%,54.26%,37.00,33.26
1770,1.52%,-2.18%,4.34%,-0.43%,16.66%,23.10,20.67
1771,,,,,,,
1772,,,,,,,
1773,,,,,,,
1774,0.78%,3.31%,6.90%,10.78%,17.06%,47.00,45.02
1775,-1.83%,-3.71%,-1.77%,6.14%,42.30%,18.56,16.10
1776,3.16%,-3.23%,-6.01%,11.77%,25.86%,32.00,25.20
1777,-1.57%,4.05%,14.09%,16.55%,27.41%,23.65,20.60
1778,,,,,,,
1779,6.65%,8.06%,51.12%,52.78%,66.71%,56.00,47.45
1780,5.21%,-0.37%,2.00%,-2.53%,1.42%,47.80,40.70
1781,1.87%,2.48%,4.80%,6.25%,28.10%,50.40,42.76
1782,,,,,,,
1783,,,,,,,
1784,,,,,,,
1785,1.32%,-0.87%,-7.99%,5.53%,23.85%,34.00,25.75
1786,-2.18%,-18.41%,-7.32%,-3.68%,-10.11%,112.18,88.48
1787,,,,,,,
1788,,,,,,,
1789,-3.08%,-5.59%,-0.54%,4.70%,18.82%,24.00,18.25
1790,-6.90%,-28.57%,-53.29%,-83.54%,-82.71%,20.00,1.39
1791,7.92%,14.05%,-16.10%,-4.41%,7.49%,97.00,73.92
1792,,,,,,,
1793,,,,,,,
1794,,,,,,,
1795,-1.71%,-3.25%,-14.80%,-24.86%,-20.58%,200.42,140.38
1796,,,,,,,
1797,,,,,,,
1798,-8.33%,-18.52%,-69.86%,-52.69%,-,9.25,1.74
1799,-8.30%,7.14%,-5.83%,-28.33%,-58.98%,5.00,2.16
1800,2.13%,3.16%,6.80%,14.33%,48.71%,27.50,24.42
1801,,,,,,,
1802,,,,,,,
1803,,,,,,,
1804,7.85%,75.36%,60.93%,103.47%,-1.85%,28.25,21.42
1805,,,,,,,
1806,,,,,,,
1807,,,,,,,
1808,20.64%,-3.75%,-24.33%,-,-,38.50,26.85
1809,-0.11%,1.51%,-14.38%,-30.39%,-9.42%,-,8.85
1810,7.00%,8.30%,22.25%,26.28%,9.46%,48.62,46.04
1811,4.44%,4.80%,18.63%,32.10%,44.77%,64.50,60.20
1812,0.59%,0.63%,1.53%,1.79%,40.19%,24.00,23.92
1813,-0.10%,-0.76%,0.41%,-0.61%,-,-,9.74
1814,,,,,,,
1815,,,,,,,
1816,,,,,,,
1817,-7.93%,-18.38%,-35.74%,-48.99%,-19.25%,-,1.53
1818,4.64%,-15.64%,-21.76%,-28.99%,15.10%,7.00,10.44
1819,,,,,,,
1820,,,,,,,
1821,,,,,,,
1822,3.94%,-5.94%,12.89%,6.10%,56.62%,190.14,166.10
1823,,,,,,,
1824,4.97%,3.20%,14.52%,17.20%,37.56%,91.33,94.16
1825,,,,,,,
1826,0.21%,-0.71%,-0.81%,-1.81%,-,-,9.75
1827,3.59%,0.97%,11.67%,7.55%,35.93%,76.00,70.25
1828,0.49%,-4.30%,-10.95%,-5.77%,-14.57%,-,9.39
1829,-14.77%,-29.57%,-40.62%,-,-,50.42,26.02
1830,4.72%,4.24%,-10.95%,-26.54%,-25.79%,50.83,36.72
1831,,,,,,,
1832,,,,,,,
1833,-2.91%,-1.79%,-16.74%,-19.72%,-,21.80,13.85
1834,,,,,,,
1835,-8.00%,-16.87%,-26.20%,-41.28%,-66.34%,4.00,1.41
1836,-4.28%,1.13%,9.08%,6.38%,93.15%,141.00,100.31
1837,,,,,,,
1838,,,,,,,
1839,-8.00%,-22.95%,-43.00%,-43.07%,-61.44%,19.00,4.64
1840,14.95%,-22.64%,-38.81%,-60.95%,-34.05%,-,1.50
1841,-0.63%,-6.51%,-17.54%,-36.03%,-39.18%,-,7.81
1842,,,,,,,
1843,-4.21%,-7.24%,-28.37%,-41.79%,-48.98%,29.67,5.13
1844,2.78%,-1.98%,4.11%,-9.79%,0.89%,87.25,70.69
1845,10.55%,4.29%,14.70%,-26.73%,78.46%,22.50,10.70
1846,6.03%,7.79%,-24.23%,-58.45%,18.24%,-,4.08
1847,4.11%,2.57%,2.18%,5.42%,30.44%,-,57.09
1848,-7.28%,-23.81%,-36.18%,-43.52%,-37.40%,-,1.05
1849,,,,,,,
1850,,,,,,,
1851,-0.35%,-2.72%,-0.81%,13.85%,35.05%,19.12,19.79
1852,,,,,,,
1853,,,,,,,
1854,6.58%,0.62%,1.67%,-4.33%,59.87%,6.86,4.90
1855,,,,,,,
1856,6.72%,11.22%,45.57%,50.39%,41.48%,31.00,32.70
1857,-13.55%,-15.00%,-11.03%,-41.12%,-60.80%,47.75,36.89
1858,0.21%,-,-,-,-,-,9.76
1859,5.94%,-18.57%,-28.28%,-41.29%,-46.24%,53.75,20.00
1860,,,,,,,
1861,-0.71%,-11.39%,-40.17%,-66.27%,-75.86%,3.00,1.43
1862,,,,,,,
1863,-15.29%,-35.49%,-51.53%,-56.97%,-,21.50,3.73
1864,2.25%,1.92%,-22.06%,3.92%,312.99%,-,6.28
1865,,,,,,,
1866,,,,,,,
1867,,,,,,,
1868,,,,,,,
1869,3.38%,-0.87%,2.20%,7.36%,46.39%,19.00,18.03
1870,,,,,,,
1871,,,,,,,
1872,,,,,,,
1873,,,,,,,
1874,,,,,,,
1875,,,,,,,
