,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price
109,-11.35%,-22.50%,-29.46%,-39.91%,-8.70%,2.00,0.61
110,-87.82%,-86.99%,-90.28%,-87.96%,-92.81%,77.20,10.23
111,8.37%,-16.79%,-,-,-,24.36,15.53
112,,,,,,,
113,-17.16%,-14.21%,-33.72%,-54.38%,-52.55%,6.12,0.62
114,,,,,,,
115,-10.99%,-1.16%,-2.86%,-26.09%,1.19%,-,1.71
116,-10.79%,-15.00%,-11.85%,42.69%,16.90%,-,5.75
117,-8.21%,-24.44%,-46.95%,-33.13%,-64.31%,42.75,13.75
118,,,,,,,
119,1.59%,9.27%,37.62%,0.00%,29.71%,18.64,18.46
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,17.73%,34.80%,98.88%,104.31%,171.85%,65.00,61.33
125,1.58%,0.27%,8.91%,16.91%,66.60%,3366.67,2932.72
126,1.61%,10.63%,-3.23%,-21.87%,-15.59%,20.30,11.91
127,,,,,,,
128,-3.94%,-60.75%,-75.92%,-89.91%,-89.49%,-,0.60
129,,,,,,,
130,2.24%,-1.29%,8.02%,7.93%,28.34%,86.29,75.03
131,60.16%,19.88%,-1.91%,-42.58%,-24.07%,-,1.85
132,-5.31%,-14.91%,-31.58%,-11.37%,-20.64%,31.67,9.17
133,2.46%,5.93%,14.10%,26.55%,-15.29%,18.00,11.22
134,-2.83%,-9.60%,0.84%,-21.44%,-16.52%,11.33,4.87
135,,,,,,,
136,-5.06%,-1.83%,-9.05%,-9.60%,31.02%,70.00,61.36
137,-0.71%,-4.99%,2.51%,-1.63%,1.87%,4110.76,3404.32
138,4.58%,12.60%,32.34%,92.03%,129.22%,218.00,205.22
139,,,,,,,
140,3.22%,12.89%,8.93%,-33.28%,-43.43%,204.07,166.28
141,,,,,,,
142,1.48%,0.55%,9.15%,22.54%,61.48%,875.00,722.43
143,-0.26%,0.79%,-0.52%,-2.04%,19.94%,-,3.85
144,-0.39%,1.75%,-14.09%,-14.90%,13.81%,19.11,18.28
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,,
149,0.36%,-0.38%,-0.67%,26.96%,97.86%,-,188.45
150,3.79%,-16.72%,-24.82%,-45.45%,14.04%,32.25,19.50
151,,,,,,,
152,,,,,,,
153,2.08%,12.66%,8.47%,18.35%,54.61%,33.67,26.19
154,2.25%,1.52%,-7.86%,-1.33%,34.93%,18.25,14.17
155,3.99%,2.87%,-3.74%,-20.95%,-30.47%,80.91,64.79
156,,,,,,,
157,3.08%,-0.37%,5.17%,-0.33%,2.22%,-,24.39
158,3.02%,11.86%,5.91%,-6.63%,0.32%,240.24,228.35
159,2.31%,10.66%,23.60%,23.86%,-47.31%,17.11,12.09
160,9.78%,10.66%,-1.43%,4.82%,67.64%,27.00,24.74
161,-4.47%,3.22%,6.35%,-16.85%,16.67%,10.00,3.88
162,,,,,,,
163,-8.42%,-21.86%,-61.50%,-68.11%,-6.45%,20.83,5.53
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,2.82%,11.29%,24.57%,27.87%,62.67%,44.50,39.13
168,-5.53%,-7.66%,-12.14%,-19.40%,-,15.00,6.14
169,6.00%,5.92%,20.93%,4.13%,101.43%,34.50,28.46
170,-1.50%,-6.54%,-10.79%,-14.78%,-13.93%,52.00,36.77
171,,,,,,,
172,1.14%,9.57%,-3.01%,-18.58%,-9.67%,6.33,3.64
173,1.42%,-2.62%,-1.82%,-2.23%,50.19%,76.20,58.84
174,-0.30%,-0.69%,-,-,-,-,10.13
175,-1.56%,10.34%,39.38%,-25.17%,-13.94%,69.82,48.91
176,,,,,,,
177,5.00%,4.86%,26.45%,18.56%,51.52%,47.25,48.73
178,-2.99%,-3.83%,-15.60%,-3.83%,127.11%,13.33,7.83
179,5.00%,-0.37%,-0.14%,-3.81%,24.24%,13.86,13.09
180,-13.29%,-21.34%,-37.91%,-75.12%,-73.48%,12.33,4.09
181,3.69%,11.94%,25.59%,30.97%,33.00%,174.93,179.96
182,-14.23%,-30.36%,-21.42%,-37.85%,-19.92%,16.67,4.30
183,-0.53%,-17.18%,-38.96%,-51.92%,-54.37%,16.00,2.01
184,,,,,,,
185,-3.11%,-10.92%,-24.72%,-37.43%,-39.77%,15.36,5.27
186,-12.21%,-18.65%,-41.92%,-57.80%,-59.75%,42.60,9.12
187,,,,,,,
188,-13.77%,-28.18%,-43.42%,-40.98%,-42.97%,4.33,3.00
189,-3.38%,-26.69%,-48.57%,-65.58%,-77.85%,52.50,8.01
190,-5.78%,-11.41%,-34.80%,-48.98%,-29.44%,15.00,1.63
191,-3.19%,-6.60%,-10.82%,20.76%,76.10%,18.75,12.84
192,-8.26%,-19.47%,-45.90%,-60.63%,-77.53%,7.38,2.24
193,-12.73%,-36.84%,-12.93%,-3.27%,-30.81%,15.00,3.98
194,,,,,,,
195,-16.79%,-11.19%,-11.01%,-10.39%,-10.48%,16.50,9.12
196,1.52%,-,-,-,-,-,10.00
197,-12.35%,19.75%,-11.94%,24.09%,7.43%,6.30,3.90
198,,,,,,,
199,-7.41%,-26.47%,-51.92%,-66.33%,-59.51%,5.75,1.04
200,-0.51%,-0.30%,1.03%,-,-,-,9.85
201,3.89%,9.47%,0.66%,-30.27%,-39.83%,31.94,21.16
202,-17.74%,2.83%,-16.96%,14.72%,-8.36%,85.45,39.91
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,21.38%,32.08%,-,-,-,15.12,13.26
207,,,,,,,
208,0.00%,-0.10%,0.60%,-,-,-,9.99
209,,,,,,,
210,-0.52%,5.39%,9.28%,-12.35%,-6.99%,-,16.99
211,,,,,,,
212,,,,,,,
213,-3.02%,-31.07%,-10.76%,0.96%,-62.89%,26.36,16.20
214,2.46%,-18.12%,-40.12%,-49.52%,-72.72%,17.17,7.81
215,-4.75%,-6.18%,10.13%,-19.38%,-14.44%,88.17,68.92
216,,,,,,,
217,-12.10%,-20.63%,-32.78%,-55.88%,-17.92%,4.67,0.55
218,4.37%,-21.27%,-,-,-,30.20,21.03
219,,,,,,,
220,2.36%,5.34%,-3.22%,3.78%,-0.81%,129.53,82.83
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,13.24%,-26.67%,-56.74%,-64.57%,-78.52%,5.92,2.45
226,,,,,,,
227,-16.09%,32.19%,111.92%,23.72%,34.97%,4.00,2.19
228,,,,,,,
229,-18.70%,-40.45%,-23.14%,-46.48%,-34.49%,11.00,6.58
230,-9.45%,-19.66%,-39.98%,-58.37%,-58.96%,22.80,5.38
231,7.29%,13.44%,-15.18%,-31.07%,-5.33%,17.05,12.14
232,-5.56%,-10.11%,-14.14%,-13.75%,4.37%,13.72,7.67
233,-12.81%,-26.59%,-61.75%,-73.96%,-77.40%,12.40,4.09
234,-8.39%,-20.22%,-52.19%,-69.26%,-87.23%,7.50,1.50
235,-0.40%,-8.84%,33.12%,20.90%,-59.95%,33.75,12.67
236,,,,,,,
237,-7.81%,-24.61%,-27.27%,-33.33%,37.14%,-,3.00
238,3.73%,1.90%,7.72%,13.51%,83.14%,29.12,28.86
239,,,,,,,
240,-2.19%,-9.05%,2.70%,-5.00%,-4.69%,42.44,36.10
241,7.59%,10.41%,32.57%,73.98%,201.75%,98.00,70.51
242,5.18%,3.42%,10.05%,37.66%,73.63%,105.57,94.15
243,,,,,,,
244,1.10%,-12.66%,-18.26%,-14.46%,16.13%,14.50,8.39
245,-3.24%,-15.06%,-12.62%,-7.93%,32.66%,28.00,21.37
246,0.87%,5.77%,0.77%,-12.00%,26.12%,99.00,69.86
247,2.91%,-2.65%,-2.80%,-7.17%,-22.64%,-,32.35
248,0.46%,-1.14%,6.19%,5.20%,26.03%,38.20,34.88
249,,,,,,,
250,-8.40%,-15.37%,-19.14%,-39.71%,-35.12%,-,5.70
251,,,,,,,
252,1.45%,16.67%,31.09%,12.18%,40.56%,4.75,3.42
253,0.77%,8.20%,-1.88%,-3.20%,-5.21%,329.81,283.21
254,0.52%,-8.09%,-14.33%,-5.39%,44.90%,-,6.38
255,-11.35%,-18.81%,-27.11%,-49.85%,-39.93%,6.00,1.71
256,5.34%,-4.07%,-1.09%,-8.90%,-22.84%,-,0.88
257,0.10%,-0.61%,0.41%,0.72%,-5.03%,-,9.84
