,Last_Q_Net,Prev_Q_Net
1705,0.88,0.26
1706,-74.06,-33.43
1707,-1.97,-2.29
1708,22.75,-22.37
1709,,
1710,-7.18,-6.41
1711,,
1712,,
1713,38.20,96.09
1714,-23.53,-14.27
1715,376.00,-172.00
1716,359.07,316.37
1717,,
1718,12.70,10.33
1719,,
1720,,
1721,,
1722,110.72,89.60
1723,-3.62,-5.93
1724,,
1725,6.37,6.59
1726,20.01,20.23
1727,8.45,8.66
1728,-1.22,-2.17
1729,,
1730,,
1731,,
1732,,
1733,,
1734,,
1735,,
1736,-5.73,-1.82
1737,-2.42,-3.97
1738,28.36,28.35
1739,1.36,0.88
1740,243.50,239.70
1741,-43.31,-55.13
1742,,
1743,,
1744,,
1745,,
1746,-4.18,-4.00
1747,,
1748,49.80,-133.99
1749,,
1750,,
1751,,
1752,17.26,-0.08
1753,706.09,718.08
1754,,
1755,,
1756,8.70,-7.54
1757,,
1758,15.94,15.91
1759,-9.96,-15.17
1760,,
1761,,
1762,,
1763,,
1764,10.99,10.99
1765,21.21,21.21
1766,,
1767,8.34,8.39
1768,,
1769,17.28,17.54
1770,7.56,7.54
1771,,
1772,,
1773,,
1774,13.02,13.41
1775,9.45,9.53
1776,45.00,45.10
1777,9.74,9.74
1778,,
1779,,
1780,61.75,61.73
1781,18.14,18.12
1782,,
1783,,
1784,,
1785,7.20,7.18
1786,45.20,82.45
1787,,
1788,,
1789,6.62,6.62
1790,-30.40,-9.28
1791,33.40,28.43
1792,,
1793,,
1794,,
1795,-20.54,-16.53
1796,,
1797,,
1798,,-1.70
1799,-2.45,-5.18
1800,31.57,31.68
1801,,
1802,,
1803,,
1804,-26.08,-23.11
1805,,
1806,,
1807,,
1808,-15.27,-10.06
1809,-6.88,-7.13
1810,20.50,17.91
1811,4.52,8.34
1812,35.77,36.06
1813,7.20,-8.72
1814,,
1815,,
1816,,
1817,-0.08,0.24
1818,31.42,-1.19
1819,,
1820,,
1821,,
1822,43.82,44.27
1823,,
1824,46.17,39.14
1825,,
1826,1.73,-1.30
1827,204.53,51.76
1828,0.50,-1.57
1829,-107.42,
1830,76.00,40.00
1831,,
1832,,
1833,23.00,19.00
1834,,
1835,0.68,-0.78
1836,122.52,79.81
1837,,
1838,,
1839,-19.43,-26.85
1840,-10.31,-0.40
1841,19.81,31.36
1842,,
1843,-10.79,-15.65
1844,,
1845,-3.62,-5.93
1846,,
1847,,
1848,,
1849,,
1850,,
1851,14.61,14.52
1852,,
1853,,
1854,5.81,3.64
1855,,
1856,11.11,11.11
1857,-56.20,-58.30
1858,,
1859,-3.37,-2.09
1860,,
1861,-24.78,-50.37
1862,,
1863,-2.26,-1.08
1864,-96.60,1.91
1865,,
1866,,
1867,,
1868,,
1869,28.44,25.89
1870,,
1871,,
1872,,
1873,,
1874,,
1875,,
1876,,
1877,,
1878,,-84.02
1879,28.52,28.49
1880,,
1881,,
1882,56.83,55.73
1883,3.35,3.35
1884,9.82,9.82
1885,,
1886,,
1887,,
1888,,
1889,95.14,97.01
1890,143.22,143.16
1891,,
1892,129.21,129.83
1893,,
1894,,
1895,53.96,54.18
1896,113.78,113.64
1897,,
1898,9.27,9.25
1899,,
1900,,
1901,,
1902,,
1903,,
1904,0.78,
1905,8.25,8.21
1906,23.65,23.83
1907,,
1908,,
1909,,
1910,428.00,269.00
1911,24.18,64.84
1912,,
1913,-10.20,-12.30
1914,,
1915,1.70,0.94
1916,4.35,5.84
1917,,
1918,-13.84,-17.14
1919,-4.13,-3.72
1920,9.99,-18.15
1921,,
1922,0.65,1.98
1923,,
1924,,
1925,3.89,0.72
1926,,
1927,,
1928,,
1929,-43.29,-43.59
1930,-7.75,-5.81
1931,163.10,137.50
1932,-20.78,-3.54
1933,,
1934,,
1935,23.54,30.68
1936,,
1937,,
1938,,
1939,,
1940,701.00,253.00
1941,701.00,253.00
1942,1.06,-1.58
1943,164.07,38.74
1944,-1.10,-0.02
1945,,
1946,0.73,-2.57
1947,-25.16,-17.66
1948,-2.07,-7.47
1949,,
1950,,
1951,126.00,"4,580.00"
1952,,
1953,,
1954,-12.00,-18.92
1955,-20.72,-19.65
1956,4.62,5.48
1957,163.46,163.86
1958,11.90,13.81
1959,,
1960,,
1961,,
1962,,
1963,,
1964,,-4.90
1965,,
1966,,
1967,,
1968,,
1969,11.44,3.23
1970,,
1971,,
1972,,
1973,-4.66,-3.56
1974,-12.70,-12.30
1975,,
1976,,
1977,,
1978,259.04,317.00
1979,,
1980,0.98,-1.25
1981,,
1982,-18.55,-16.45
1983,,
1984,0.77,0.29
1985,-0.37,2.33
1986,,
1987,,
1988,,
1989,-31.86,-30.79
1990,2.47,2.35
1991,,
1992,,
1993,-3.44,-3.99
1994,15.69,24.79
1995,,
1996,,
1997,,
1998,,
1999,26.53,26.55
2000,,
2001,-14.38,-18.25
2002,,
2003,,
2004,"2,592.00","1,522.00"
2005,,
2006,32.74,17.95
2007,4.48,2.14
2008,,
2009,,
2010,,
2011,2.85,2.85
2012,,
2013,-1.66,
2014,,
2015,-28.47,-22.22
2016,5.00,
2017,-7.82,6.26
2018,,
2019,,
2020,0.63,0.86
2021,4.35,-5.92
2022,1.50,1.98
2023,,
2024,-0.89,-0.35
2025,5.58,-0.02
2026,,
2027,,
2028,311.76,16.95
2029,,
2030,,
2031,-25.76,3.26
2032,,
2033,-0.26,-0.37
2034,,82.89
2035,1.25,13.63
2036,,
2037,,
2038,,
2039,-22.78,-11.20
2040,,
2041,,
2042,,
2043,49.39,-8.87
2044,,
2045,-7.99,-7.71
2046,,
2047,-3.13,2.49
2048,,
2049,13.63,13.81
2050,,
2051,-59.62,9.74
2052,,
2053,,
2054,,
2055,,
2056,-16.28,-3.04
2057,-6.03,-0.77
2058,,
2059,,
2060,-28.12,-25.12
2061,-2.31,-2.50
2062,78.11,-3.38
2063,,
2064,,
2065,,
2066,,
2067,12.21,12.25
2068,-107.53,-97.58
2069,-3.01,-4.54
2070,5.31,-2.95
2071,-461.31,32.63
2072,,
2073,106.67,19.17
2074,5.21,16.59
2075,-42.47,-39.42
2076,-7.92,-2.73
2077,-1.43,-0.85
2078,,
2079,-1.84,-2.12
2080,,
2081,-5.45,-4.86
2082,-9.53,-5.47
2083,-50.49,-64.87
2084,6.03,4.93
2085,0.65,0.64
2086,-8.52,-8.45
2087,-22.63,-22.39
2088,-7.71,-8.40
2089,,
2090,-19.63,-21.29
2091,1.34,-1.39
2092,149.06,138.22
2093,,
2094,,
2095,63.00,409.00
2096,,
2097,,
2098,,
2099,,
2100,,
2101,,
2102,,
2103,,
2104,,
2105,-9.25,-7.38
2106,-3.62,-4.31
2107,,
2108,76.66,86.51
2109,,
2110,,
2111,-1.95,-1.31
2112,,
2113,-5.04,-0.79
2114,-26.70,-29.57
2115,,
2116,27.56,25.95
2117,,
2118,0.17,-0.13
2119,-41.23,-40.19
2120,95.59,95.58
2121,,
2122,,
2123,28.14,47.14
2124,1.50,-0.53
2125,,
2126,-70.99,-69.59
2127,,
2128,,
2129,,
2130,,
2131,,
2132,,
2133,,
2134,,
2135,,
2136,,
2137,9.08,2.90
2138,-17.33,-14.40
2139,-20.18,-11.99
2140,-0.16,-0.54
2141,,
2142,-90.95,471.43
2143,,
2144,,
2145,195.33,104.50
2146,,
2147,,
2148,,
2149,-18.07,31.06
2150,132.00,67.00
2151,4.04,1.49
2152,-22.78,-11.20
2153,,
2154,,
2155,,
2156,,
2157,-60.25,-59.83
2158,47.66,49.46
2159,-14.59,-17.53
2160,,
2161,,
2162,13.81,2.10
2163,-70.10,-147.60
2164,48.51,52.26
2165,-6.05,-0.04
2166,14.39,16.33
2167,,
2168,8.51,8.51
2169,-0.80,-1.99
2170,1.03,2.78
2171,-13.85,0.63
2172,,
2173,-0.86,-0.75
2174,-0.55,-1.48
2175,44.00,19.77
2176,17.14,19.64
2177,4.99,-6.76
2178,0.51,2.72
2179,,
2180,,
2181,,
2182,4.38,4.37
2183,,
2184,,
2185,5.39,-2.70
2186,,
2187,27.34,27.36
2188,,
2189,,
2190,,
2191,,
2192,,
2193,-20.04,-17.15
2194,,
2195,8.13,10.53
2196,8.36,15.67
2197,7.99,-2.96
2198,216.59,91.46
2199,1.35,-3.32
2200,,
2201,87.01,86.99
2202,,
2203,,
2204,3.71,1.07
2205,50.66,52.65
2206,1.53,-2.01
2207,-16.68,-16.76
2208,,
2209,,
2210,4.40,10.57
2211,-0.17,-0.41
2212,253.20,-22.90
2213,14.67,-6.18
2214,14.13,16.63
2215,,
2216,18.17,24.45
2217,-0.09,-0.09
2218,-5.04,-3.82
2219,,
2220,,
2221,,
2222,,
2223,24.47,20.74
2224,-7.43,-6.54
2225,-28.32,-0.52
2226,27.76,30.69
2227,-2.09,-0.15
2228,-14.80,-6.29
2229,,
2230,,
2231,,
2232,,
2233,162.29,155.72
2234,-9.27,-7.67
2235,35.93,36.29
2236,0.47,0.59
2237,,
2238,605.00,-168.00
2239,,
2240,,
2241,,
2242,,
2243,,
2244,,
2245,,
2246,,
2247,328.80,268.40
2248,8.41,8.50
2249,,
2250,,
2251,20.82,21.29
2252,,
2253,,
2254,-1.22,7.47
2255,122.91,124.32
2256,43.96,44.11
2257,326.54,158.12
2258,,
2259,-3.30,-3.28
2260,18.81,18.87
2261,,
2262,,
2263,-0.39,-8.44
2264,,
2265,1.49,-0.12
2266,,
2267,,
2268,-66.74,-70.80
2269,"1,487.34","1,125.04"
2270,13.73,12.80
2271,,
2272,18.70,14.90
2273,-23.21,-8.43
2274,,
2275,,
2276,,
2277,32.35,-8.18
2278,29.54,15.77
2279,-4.09,-2.75
2280,,
2281,7.85,3.60
2282,,
2283,,
2284,-4.49,-2.61
2285,,
2286,19.41,40.48
2287,3.44,-0.47
2288,,
2289,,
2290,,
2291,30.55,30.52
2292,-2.40,3.18
2293,,
2294,,
2295,-9.62,14.12
2296,,
2297,-8.33,-2.48
2298,,
2299,-21.95,-24.90
2300,,
2301,6.62,6.62
2302,2.55,0.42
2303,,
2304,-40.01,-35.83
2305,,
2306,,-1.43
2307,1.50,2.44
2308,,
2309,4.73,-8.85
2310,,
2311,,
2312,,
2313,42.42,42.36
2314,,
2315,24.50,20.77
2316,51.31,56.97
2317,-4.69,-5.98
2318,,
2319,,
2320,,
2321,,
2322,60.76,60.73
2323,,
2324,,
2325,18.51,15.11
2326,,
2327,-1.90,-0.57
2328,25.19,46.70
2329,,
2330,8.05,5.74
2331,,
2332,-32.52,-3.38
2333,2.20,2.20
2334,-3.84,-3.70
2335,,
2336,,
2337,164.60,165.23
2338,,
2339,3.51,3.53
2340,71.22,-73.21
2341,16.15,15.90
2342,-30.61,-30.50
2343,"1,257.00","1,430.00"
2344,,
2345,,
2346,12.77,6.73
2347,-119.00,-60.00
2348,95.36,218.63
2349,,
2350,,
2351,43.34,26.59
2352,6.27,3.48
2353,15.87,11.28
2354,,
2355,,
2356,,
2357,1.57,2.44
2358,,
2359,,
2360,,
2361,,
2362,,
2363,-6.15,-9.34
2364,,
2365,,
2366,,
2367,-94.27,73.86
2368,175.24,202.58
2369,22.42,19.30
2370,6.73,-4.10
2371,74.46,82.29
2372,-1.72,-2.00
2373,,
2374,,
2375,,
2376,-9.46,-6.66
2377,75.40,69.80
2378,,
2379,,
2380,,
2381,,
2382,,
2383,,
2384,,
2385,,
2386,,
2387,,
2388,,
2389,,
2390,,
2391,-14.52,-12.68
2392,,
2393,,
2394,3.77,5.34
2395,0.15,0.14
2396,-8.53,-7.99
2397,-37.34,-30.74
2398,-7.72,-5.24
2399,,
2400,-25.02,-15.48
2401,,
2402,,
2403,-2.97,-3.26
2404,-2.45,-2.31
2405,,
2406,,
2407,,
2408,21.73,21.97
2409,,
2410,,
2411,,
2412,,
2413,,
2414,,
2415,,
2416,,
2417,4.42,4.11
2418,-99.65,4.70
2419,-4.47,-2.64
2420,-20.58,-20.71
2421,-0.80,-0.10
2422,23.40,22.40
2423,7.69,6.47
2424,,
2425,72.44,88.95
2426,,
2427,,
2428,,
2429,,
2430,-7.19,-13.04
2431,55.48,58.56
2432,,
2433,,
2434,,
2435,,
2436,,
2437,,
2438,,
2439,43.23,35.07
2440,,
2441,,
2442,,
2443,-0.95,-0.74
2444,,
2445,,
2446,-3.63,-11.09
2447,,
2448,0.39,1.30
2449,,
2450,63.50,63.52
2451,16.10,5.20
2452,11.51,13.23
2453,,
2454,-31.85,-16.60
2455,,
2456,-4.23,-6.13
2457,-76.91,-68.74
2458,,
2459,-6.10,-4.95
2460,228.00,380.00
2461,,
2462,3.29,-11.89
2463,,
2464,14.50,19.78
2465,,
2466,-82.47,-80.88
2467,-86.12,-81.35
2468,,
2469,-5.20,-3.06
2470,-678.72,-0.53
2471,55.84,391.30
2472,,
2473,2.48,-4.23
2474,,
2475,3.74,7.80
2476,,
2477,,
2478,,
2479,,
2480,60.69,194.76
2481,3.01,4.03
2482,20.39,20.31
2483,31.08,28.40
2484,-11.58,-10.95
2485,3.11,3.11
2486,-44.16,-38.71
2487,,
2488,-13.65,-13.16
2489,-3.39,-3.05
2490,1.28,-2.17
2491,-2.24,-1.82
2492,,
2493,-2.17,1.39
2494,,
2495,,
2496,,
2497,-2.18,-3.28
2498,18.54,22.86
2499,,
2500,,
2501,,
2502,-1.24,-1.19
2503,-50.85,-7.26
2504,2.54,2.47
2505,,
2506,,
2507,161.30,159.00
2508,,
2509,,
2510,317.00,185.00
2511,,
2512,-27.20,-23.81
2513,,
2514,,
2515,-19.29,-17.93
2516,-87.63,-88.29
2517,,
2518,-37.70,-30.47
2519,6.37,-2.24
2520,,
2521,,
2522,44.72,40.92
2523,,
2524,181.74,149.46
2525,0.84,-3.33
2526,33.06,33.05
2527,42.73,42.82
2528,,
2529,18.31,18.83
2530,,
2531,,
2532,-10.71,-11.27
2533,,
2534,,
2535,,
2536,,
2537,71.74,71.97
2538,,
2539,,
2540,,
2541,1.53,2.69
2542,-26.43,-72.53
2543,12.17,5.10
2544,14.25,-2.27
2545,-60.17,-82.14
2546,-33.64,14.76
2547,,
2548,-112.71,-117.32
2549,-8.29,
2550,-4.07,-3.51
2551,25.00,-43.80
2552,-43.01,-35.31
2553,12.60,-25.00
2554,,
2555,-25.13,-15.91
2556,,
2557,,
2558,,
2559,"6,823.00","5,061.00"
2560,-71.64,-68.81
2561,,
2562,,
2563,26.23,1.62
2564,42.00,92.00
2565,,
2566,,
2567,10.96,15.51
2568,-9.78,-35.06
2569,-2.16,4.81
2570,,
2571,,
2572,,
2573,,
2574,,
2575,,
2576,,
2577,,
2578,,
2579,0.34,-1.18
2580,380.50,517.20
2581,,
2582,,
2583,236.41,236.50
2584,,
2585,,
2586,,
2587,,
2588,,
2589,-2.08,3.83
2590,,
2591,,
2592,,
2593,,
2594,,
2595,,
2596,,
2597,,
2598,,
2599,,
2600,18.88,28.89
2601,,
2602,-20.46,-13.15
2603,,
2604,-1.13,-2.00
2605,102.11,76.86
2606,,
2607,,
2608,,
2609,-0.97,-4.98
2610,,
2611,-3.41,-3.57
2612,,
2613,,
2614,,
2615,0.61,2.41
2616,,
2617,19.25,12.34
2618,6.93,28.77
2619,-10.65,-11.87
2620,,
2621,,
2622,-4.81,-4.15
2623,,
2624,199.83,172.16
2625,-0.39,0.91
2626,,
2627,,
2628,,
2629,,
2630,4.92,-8.22
2631,38.93,40.03
2632,-12.19,-14.08
2633,,
2634,,
2635,-30.38,-16.47
2636,,
2637,,
2638,,
2639,-52.83,-363.32
2640,,
2641,130.00,64.00
2642,,
2643,,
2644,-0.41,-0.45
2645,,
2646,1.94,2.68
2647,-30.09,-4.01
2648,,
2649,,
2650,,
2651,,
2652,,
2653,4.24,-4.89
2654,"1,068.42",632.98
2655,,
2656,,
2657,-2.30,-22.40
2658,-5.78,
2659,-28.13,-36.50
2660,-25.15,-2.72
2661,-0.84,0.94
2662,,
2663,3.79,9.58
2664,,
2665,-0.89,0.08
2666,,
2667,,
2668,-1.76,6.20
2669,,
2670,10.77,11.42
2671,,
2672,0.81,0.17
2673,-14.46,-12.96
2674,,
2675,,
2676,-5.05,7.40
2677,-10.62,1.32
2678,,
2679,36.62,35.63
2680,7.23,0.63
2681,,
2682,,
2683,,
2684,,
2685,-67.53,-55.85
2686,,
2687,-0.10,0.33
2688,-2.40,1.10
2689,-33.60,-29.05
2690,133.71,113.77
2691,-0.83,0.77
2692,,
2693,,
2694,,
2695,,-25.00
2696,4.02,-5.67
2697,,
2698,,
2699,-3.44,-4.26
2700,-19.65,-16.11
2701,-23.09,-23.89
2702,,
2703,-7.87,40.93
2704,,
2705,119.15,88.28
2706,-51.81,-53.58
2707,13.74,-8.10
2708,74.56,77.68
2709,34.80,24.00
2710,,
2711,8.22,8.21
2712,-20.30,-15.62
2713,530.00,448.00
2714,,
2715,20.17,21.19
2716,0.86,-1.32
2717,,
2718,2.56,14.45
2719,,
2720,-24.70,-21.45
2721,-5.97,-6.73
2722,-2.97,-2.47
2723,,
2724,,
2725,,
2726,,
2727,-1.58,-16.86
2728,,
2729,3.87,5.60
2730,,
2731,-5.66,-17.14
2732,-15.59,-16.36
2733,-2.31,-1.70
2734,-33.37,-33.66
2735,,
2736,,
2737,,
2738,-6.44,-7.15
2739,,
2740,-6.16,-4.36
2741,,
2742,27.73,37.64
2743,284.06,304.62
2744,0.24,-1.98
2745,,
2746,3.13,0.20
2747,5.91,5.92
2748,50.88,50.86
2749,2.79,2.56
2750,"1,179.74","1,144.66"
2751,30.66,31.73
2752,0.32,10.90
2753,5.01,5.00
2754,10.80,10.66
2755,-4.05,-2.32
2756,,
2757,,
2758,,
2759,,
2760,26.74,21.84
2761,,
2762,360.41,-29.00
2763,3.66,2.94
2764,30.97,25.31
2765,6.50,8.30
2766,-11.14,-9.53
2767,,
2768,,
2769,,
2770,-39.67,-38.40
2771,,
2772,,
2773,44.54,118.80
2774,,
2775,,
2776,236.87,56.26
2777,,
2778,,
2779,,
2780,78.20,4.40
2781,,
2782,13.76,26.72
2783,,
2784,,
2785,,
2786,-31.00,-38.00
2787,,
2788,-31.00,-38.00
2789,-50.00,55.00
2790,,
2791,72.00,153.00
2792,-14.35,-16.83
2793,,
2794,12.57,5.79
2795,,
2796,13.72,30.73
2797,,
2798,,
2799,3.99,0.73
2800,-10.11,-13.70
2801,82.18,-32.04
2802,,
2803,31.76,96.11
2804,,
2805,,
2806,-2.90,-3.10
2807,-1.08,-2.06
2808,32.76,8.42
2809,-42.24,-55.32
2810,9.94,8.73
2811,-32.81,-21.12
2812,,
2813,,
2814,,
2815,-10.19,-10.50
2816,,
2817,-6.34,-6.98
2818,,
2819,-95.81,-108.20
2820,2.75,8.45
2821,,
2822,,
2823,,
2824,-27.50,-16.20
2825,,
2826,81.50,21.50
2827,-51.34,-36.83
2828,,
2829,0.35,-0.23
2830,51.54,51.86
2831,,
2832,-71.54,-251.92
2833,2.34,2.88
2834,,
2835,,
2836,12.46,12.74
2837,,
2838,100.55,118.13
2839,,
2840,-5.49,11.11
2841,4.76,-4.19
2842,-2.26,3.73
2843,,
2844,25.64,25.60
2845,,
2846,106.84,119.61
2847,-9.48,-2.87
2848,-12.60,4.10
2849,7.40,16.22
2850,98.67,92.29
2851,-13.41,-26.66
2852,-2.28,-1.10
2853,,
2854,-16.80,-12.61
2855,,
2856,-34.24,-40.07
2857,,
2858,,
2859,,
2860,5.93,-3.48
2861,,
2862,39.39,37.20
2863,,
2864,2.42,0.28
2865,14.73,12.43
2866,,
2867,,
2868,,
2869,7.64,7.63
2870,-23.12,-18.07
2871,236.87,56.26
2872,,
2873,277.10,"11,128.20"
2874,,
2875,,
2876,78.20,4.40
2877,,
2878,,
2879,,
2880,,
2881,,
2882,12.00,-88.00
2883,12.00,-88.00
2884,-50.00,55.00
2885,,
2886,72.00,153.00
2887,,
2888,,
2889,,
2890,0.87,-1.87
2891,-0.63,-2.91
2892,-4.25,-4.54
2893,-0.40,23.59
2894,,
2895,,
2896,,
2897,,
2898,-24.34,-35.30
2899,,
2900,,
2901,,
2902,-3.08,-6.81
2903,,
2904,92.05,82.09
2905,45.04,45.06
2906,-15.24,-8.05
2907,-11.34,-75.84
2908,-1.24,-1.73
2909,,
2910,,
2911,-3.49,-7.55
2912,,
2913,,
2914,-4.86,-5.01
2915,,
2916,,
2917,,
2918,,
2919,,
2920,-524.40,-588.82
2921,,
2922,,
2923,,
2924,-27.64,-21.03
2925,2.64,2.01
2926,-48.88,-62.59
2927,-11.05,-11.04
2928,,
2929,,
2930,-11.88,-5.72
2931,34.92,22.85
2932,-5.33,-18.40
2933,-2.58,-2.66
2934,,
2935,,
2936,34.19,34.19
2937,-52.89,-39.94
2938,,
2939,,
2940,-63.10,-61.65
2941,-17.43,-16.93
2942,,
2943,7.00,5.81
2944,,
2945,,
2946,,
2947,6.16,-3.15
2948,,
2949,7.55,7.55
2950,-0.01,0.43
2951,,
2952,,
2953,36.65,30.59
2954,-1.10,5.37
2955,2.93,2.13
2956,,
2957,54.27,49.08
2958,,
2959,-19.51,-23.82
2960,,
2961,57.96,67.29
2962,6.53,-9.27
2963,-45.73,-68.55
2964,220.00,422.00
2965,,
2966,,
2967,-62.53,-276.43
2968,10.39,16.53
2969,131.21,140.90
2970,-17.54,-10.72
2971,-167.99,-6.21
2972,,
2973,,
2974,,
2975,-65.36,-77.01
2976,,
2977,,
2978,23.25,20.61
2979,,
2980,,
2981,,
2982,1.86,0.38
2983,24.99,24.95
2984,,
2985,,
2986,-1.19,0.94
2987,,
2988,,
2989,,
2990,48.57,39.93
2991,,
2992,-25.95,-20.09
2993,-0.24,-0.22
2994,,
2995,,
2996,,
2997,,
2998,,
2999,,
3000,95.22,68.19
3001,,
3002,69.12,21.41
3003,-7.14,17.93
3004,,
3005,6.66,11.67
3006,,
3007,,
3008,,
3009,,
3010,,
3011,,
3012,-0.53,-0.76
3013,-14.85,-27.39
3014,3.72,2.00
3015,-11.43,-5.18
3016,-18.33,-15.59
3017,,
3018,-171.88,-78.07
3019,,
3020,25.73,25.64
3021,,
3022,,
3023,-14.27,
3024,-36.14,-299.35
3025,242.00,252.80
3026,,
3027,,
3028,,
3029,2.89,2.98
3030,,
3031,175.97,120.58
3032,11.45,10.89
3033,22.58,22.68
3034,-3.06,-4.99
3035,,
3036,,
3037,-61.50,7.40
3038,17.58,10.07
3039,,
3040,-3.23,
3041,1.70,-1.55
3042,,
3043,-80.05,-166.43
3044,-5.11,-3.70
3045,,
3046,16.90,18.40
3047,,
3048,,
3049,,
3050,-4.44,-2.90
3051,,
3052,-7.57,13.67
3053,,
3054,,
3055,,
3056,-22.90,-29.24
3057,,
3058,-81.29,-77.13
3059,,
3060,68.77,55.17
3061,,
3062,7.24,11.33
3063,8.90,-4.65
3064,-0.00,
3065,,
3066,,
3067,,
3068,,
3069,,
3070,-0.22,-0.19
3071,,
3072,,
3073,,
3074,-6.56,-5.78
3075,-4.82,-4.74
3076,,
3077,,
3078,,
3079,-5.17,-4.69
3080,,
3081,299.00,439.00
3082,,
3083,,
3084,,
3085,1.26,0.30
3086,,
3087,-17.00,-14.36
3088,-2.01,-4.34
3089,,
3090,24.60,-4.70
3091,,
3092,17.13,15.01
3093,-4.60,2.47
3094,-0.23,0.13
3095,,
3096,,
3097,,
3098,132.40,146.50
3099,-2.37,-2.17
3100,,
3101,12.82,12.61
3102,23.17,21.22
3103,,
3104,,
3105,,
3106,,
3107,,
3108,5.94,-0.67
3109,7.50,7.78
3110,,
3111,-24.32,36.81
3112,2.85,26.63
3113,7.57,7.55
3114,,
3115,,
3116,-8.00,-24.28
3117,26.94,33.73
3118,,
3119,,
3120,37.96,36.61
3121,-68.22,-64.70
3122,1.11,1.06
3123,-4.43,-35.52
3124,-22.17,-108.88
3125,-0.00,0.00
3126,3.31,-0.33
3127,-3.13,-2.50
3128,,
3129,,
3130,5.48,10.26
3131,-4.79,
3132,-4.95,-3.04
3133,,
3134,-6.91,-6.61
3135,,
3136,,
3137,,
3138,,
3139,,
3140,-2.50,-6.24
3141,9.26,0.73
3142,,
3143,,
3144,,
3145,742.00,36.00
3146,,
3147,,
3148,,
3149,,
3150,-11.27,-10.46
3151,-0.87,-0.68
3152,,
3153,-3.35,-3.19
3154,,
3155,,
3156,,
3157,-3.58,-4.28
3158,2.26,-1.54
3159,,
3160,,
3161,-0.78,-0.51
3162,,
3163,,
3164,,
3165,,
3166,,
3167,,
3168,,
3169,,
3170,15.86,16.12
3171,,
3172,28.88,28.87
3173,,
3174,-124.62,-18.62
3175,,
3176,,
3177,11.97,4.92
3178,,
3179,,
3180,,
3181,,
3182,,
3183,,
3184,-45.47,-40.91
3185,-7.50,4.28
3186,31.30,31.34
3187,"9,194.00","10,394.00"
3188,,
3189,,
3190,,
3191,,
3192,,
3193,,
3194,-2.34,-1.78
3195,,
3196,-2.56,-2.51
3197,,
3198,"2,306.00","2,720.00"
3199,"20,505.00","16,458.00"
3200,-117.99,-2.05
3201,,
3202,11.43,10.34
3203,,
3204,,
3205,,
3206,,
3207,-14.22,0.77
3208,,
3209,5.00,-100.00
3210,,
3211,-9.21,-10.59
3212,0.68,0.11
3213,,
3214,,
3215,-47.11,-43.89
3216,,
3217,1.81,2.98
3218,,
3219,,
3220,,
3221,,
3222,,
3223,"3,333.00","2,780.00"
3224,,
3225,,
3226,-30.39,-15.60
3227,,
3228,-5.61,-2.88
3229,22.31,18.15
3230,,
3231,,
3232,,
3233,,
3234,-2.46,-2.08
3235,20.98,15.68
3236,337.20,403.76
3237,-19.84,-18.41
3238,2.93,-4.87
3239,,
3240,,
3241,,
3242,,
3243,,
3244,49.00,32.90
3245,,
3246,3.68,0.86
3247,,
3248,,
3249,,
3250,,
3251,,
3252,,
3253,0.05,-1.68
3254,,
3255,,
3256,,
3257,112.28,-115.90
3258,,
3259,-1.12,-3.71
3260,-5.47,-18.09
3261,,
3262,,
3263,43.63,43.79
3264,,
3265,-28.86,-36.69
3266,,
3267,-3.38,-5.39
3268,,
3269,,
3270,-0.64,-0.56
3271,-49.89,-18.45
3272,-31.26,-27.02
3273,,
3274,-10.84,-15.30
3275,,
3276,,
3277,,
3278,39.28,53.82
3279,,
3280,,
3281,,
3282,27.18,17.31
3283,,
3284,-0.64,-1.04
3285,40.99,37.60
3286,,
3287,,
3288,4.86,6.54
3289,5.57,3.46
3290,-14.50,-10.71
3291,,
3292,173.00,185.00
3293,,
3294,,
3295,,
3296,-3.49,-3.34
3297,-20.35,75.87
3298,10.83,17.08
3299,,
3300,,
3301,,
3302,-1.22,-1.19
3303,,
3304,-12.99,1.64
3305,,
3306,,
3307,,
3308,,
3309,,
3310,,
3311,,
3312,-7.16,-8.66
3313,-3.46,-3.92
3314,-2.64,-2.95
3315,,
3316,,
3317,,
3318,,
3319,,
3320,21.85,75.81
3321,,
3322,3.53,3.39
3323,-2.70,17.37
3324,,
3325,,
3326,,
3327,,
3328,8.45,
3329,-5.27,-4.73
3330,128.55,439.74
3331,,
3332,,
3333,,
3334,,
3335,,
3336,,
3337,169.56,200.10
3338,1.22,-11.58
3339,,
3340,-32.42,-113.92
3341,,
3342,,
3343,10.78,10.33
3344,-267.57,-143.23
3345,-16.05,-24.53
3346,,
3347,,
3348,1.78,4.31
3349,4.70,5.68
3350,,
3351,6.58,-11.80
3352,,
3353,,
3354,,
3355,35.20,37.24
3356,,
3357,,
3358,48.49,49.31
3359,6.27,6.28
3360,,
3361,,
3362,-845.88,-717.79
3363,,
3364,,
3365,,
3366,13.60,11.66
3367,,
3368,-1.94,-0.41
3369,,
3370,,
3371,,
3372,-11.72,-26.27
3373,,
3374,-28.84,-26.38
3375,,
3376,-21.64,1.80
3377,,
3378,,
3379,,
3380,7.75,5.03
3381,,
3382,2.80,-5.79
3383,-4.74,-2.64
3384,,
3385,-20.77,-16.01
3386,12.57,13.64
