Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Symbol
1.2754,2.1529,4.99,0.55,64670.0,45230.0,0.1413,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Energy,AXAS
5.29,5.84,9.09,3.78,324360.0,360320.0,0.6814,0.0403,0.0157,-0.2628999999999999,-0.2367,0.2836,8.0,5.32,38.35,6.15,32.2,Industrials,ACTG
59.77,61.58,68.65,48.62,375580.0,418450.0,1.0189,0.0279,0.0558,-0.0699,-0.0475999999999999,0.2306,75.14,60.72,66.13,44.51,21.619999999999997,Healthcare,ACHC
5.48,6.8,15.6,4.01,414660.0,448020.0,0.3943,-0.0482,-0.004,-0.1697,-0.3871,-0.3251,9.33,5.02,-8.99,-21.67,12.680000000000001,Healthcare,AXDX
10.2,10.2,11.4,10.05,3300.0,253360.0,0.0,0.0039,0.0079,-0.0588999999999999,-0.1115,0.0353,27.67,10.25,0.02,-0.23,0.25,Financial Services,ENERU
10.49,10.43,11.31,9.76,226075.0,22.0,0.2397,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Financial Services,ACBAU
0.7094,1.1206,2.94,0.46,1620000.0,1040000.0,0.3486,-0.1601,-0.2043,-0.5196999999999999,-0.6415000000000001,-0.5808,4.17,0.51,-8.38,-9.85,1.4699999999999989,Healthcare,ACRX
2.2694,2.6193,5.39,1.68,44340.0,304990.0,0.303,0.0268,0.0849,-0.1016,-0.1957999999999999,-0.0726,10.0,2.35,-3.27,-3.07,-0.20000000000000018,Healthcare,ACER
9.86,9.86,9.9,9.82,9580.0,67080.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Financial Services,AVHI
0.4196,0.4214,0.52,0.06,105.0,1740.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Communication Services,ACHN
